timestamp,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,cpu_percent,mem_total,mem_available,mem_percent,mem_used,mem_free,mem_active,mem_inactive,mem_buffers,mem_cached,mem_shared,mem_slab,disk_percent,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes
2023-10-24 16:27:50,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522144182272,3.4,14625325056,82456371200,255840137216,187895500800,3328294912,440277417984,406085632,12266188800,89.0,3890913,16434641,355799438336,2380580865024
2023-10-24 16:28:00,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522144473088,3.4,14625038336,82456625152,255841079296,187895414784,3328294912,440277450752,406085632,12266450944,89.0,3890913,16434710,355799438336,2380581299200
2023-10-24 16:28:10,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522144047104,3.4,14625456128,82456158208,255839920128,187895410688,3328294912,440277499904,406093824,12266258432,89.0,3890913,16434783,355799438336,2380581782528
2023-10-24 16:28:20,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522141188096,3.4,14628298752,82453258240,255841771520,187895459840,3328294912,440277557248,406110208,12266532864,89.0,3890913,16434865,355799438336,2380582355968
2023-10-24 16:28:30,4,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522141847552,3.4,14627622912,82453831680,255840448512,187895422976,3328299008,440277655552,406118400,12266438656,89.0,3890913,16434989,355799438336,2380583076864
2023-10-24 16:28:40,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522143539200,3.4,14625935360,82455429120,255840546816,187895422976,3328299008,440277745664,406118400,12266164224,89.0,3890913,16435052,355799438336,2380583429120
2023-10-24 16:28:50,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522142257152,3.4,14627209216,82454126592,255842209792,187895459840,3328299008,440277774336,406130688,12265705472,89.0,3890913,16435135,355799438336,2380584027136
2023-10-24 16:29:00,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522140672000,3.4,14628782080,82452488192,255843495936,187895447552,3328299008,440277839872,406138880,12265299968,89.0,3890913,16435243,355799438336,2380584657920
2023-10-24 16:29:10,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522142679040,3.4,14626775040,82454642688,255842787328,187895398400,3328299008,440277692416,406138880,12265783296,89.0,3890913,16435316,355799438336,2380585124864
2023-10-24 16:29:20,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522142797824,3.4,14626639872,82454736896,255843569664,187895410688,3328299008,440277733376,406155264,12265926656,89.0,3890913,16435385,355799438336,2380585509888
2023-10-24 16:29:30,4,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522142830592,3.4,14626594816,82454732800,255842406400,187895402496,3328299008,440277782528,406163456,12266176512,89.0,3890913,16435457,355799438336,2380585993216
2023-10-24 16:29:40,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522138832896,3.4,14630584320,82450653184,255843004416,187895439360,3328299008,440277872640,406179840,12266700800,89.0,3890913,16435587,355799438336,2380586681344
2023-10-24 16:29:50,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522136141824,3.4,14633267200,82447880192,255843725312,187895402496,3328299008,440277962752,406179840,12267237376,89.0,3890913,16435677,355799438336,2380587361280
2023-10-24 16:30:00,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522139635712,3.4,14629769216,82451345408,255843041280,187895386112,3328299008,440277995520,406188032,12266151936,89.0,3890913,16435739,355799438336,2380587746304
2023-10-24 16:30:10,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522142380032,3.4,14627004416,82454052864,255841103872,187895386112,3328299008,440278052864,406204416,12265603072,89.0,3890913,16435878,355799438336,2380588532736
2023-10-24 16:30:20,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522145017856,3.4,14624374784,82456641536,255841460224,187895398400,3328299008,440278093824,406204416,12265644032,89.0,3890913,16435950,355799438336,2380588925952
2023-10-24 16:30:30,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522143338496,3.4,14626037760,82454953984,255842414592,187895410688,3328299008,440278118400,406212608,12266467328,89.0,3890913,16436034,355799438336,2380589499392
2023-10-24 16:30:40,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522139488256,3.4,14629888000,82451070976,255841947648,187895410688,3328299008,440278151168,406220800,12266336256,89.0,3890913,16436111,355799438336,2380589941760
2023-10-24 16:30:50,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522139537408,3.4,14629822464,82451087360,255842484224,187895341056,3328299008,440278200320,406228992,12265885696,89.0,3890913,16436259,355799438336,2380590818304
2023-10-24 16:31:00,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522135605248,3.4,14633750528,82447101952,255843856384,187895373824,3328299008,440278257664,406237184,12267020288,89.0,3890913,16436321,355799438336,2380591186944
2023-10-24 16:31:10,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522139099136,3.4,14630219776,82450432000,255842070528,187895414784,3328299008,440278458368,406269952,12266889216,89.0,3890913,16436403,355799438336,2380591768576
2023-10-24 16:31:20,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522139291648,3.4,14630019072,82450616320,255842906112,187895418880,3328299008,440278474752,406278144,12268216320,89.0,3890913,16436520,355799438336,2380592358400
2023-10-24 16:31:30,4,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522142736384,3.4,14626574336,82453987328,255843045376,187895398400,3328299008,440278548480,406278144,12268457984,89.0,3890913,16436601,355799438336,2380592882688
2023-10-24 16:31:40,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522132176896,3.4,14637129728,82443341824,255845175296,187895406592,3328299008,440278638592,406286336,12268105728,89.0,3890913,16436717,355799438336,2380593599488
2023-10-24 16:31:50,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522131877888,3.4,14637416448,82442993664,255846735872,187895418880,3328299008,440278700032,406294528,12268814336,89.0,3890913,16436814,355799438336,2380594320384
2023-10-24 16:32:00,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522131738624,3.4,14637551616,82442776576,255845392384,187895435264,3328299008,440278781952,406302720,12267966464,89.0,3890913,16436964,355799438336,2380595131392
2023-10-24 16:32:10,4,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522129321984,3.4,14639968256,82440278016,255896555520,187844022272,3328299008,440278863872,406302720,12268212224,89.0,3890913,16437065,355799438336,2380595827712
2023-10-24 16:32:20,4,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522130137088,3.4,14639108096,82440994816,255896281088,187844079616,3328303104,440279003136,406343680,12268974080,89.0,3890913,16437138,355799438336,2380596261888
2023-10-24 16:32:30,5,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522130501632,3.4,14638735360,82441330688,255897829376,187844042752,3328303104,440279040000,406351872,12270067712,89.0,3890913,16437473,355799438336,2380598313984
2023-10-24 16:32:40,5,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522129002496,3.4,14640242688,82439979008,255896428544,187844050944,3328303104,440278884352,406351872,12270366720,89.0,3890913,16437765,355799438336,2380601025536
2023-10-24 16:32:50,5,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522129272832,3.4,14639947776,82440343552,255898030080,187844018176,3328303104,440278814720,406368256,12270440448,89.0,3890913,16437818,355799438336,2380601455616
2023-10-24 16:33:00,5,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522131881984,3.4,14637334528,82442878976,255896772608,187844026368,3328303104,440278892544,406376448,12269932544,89.0,3890913,16437927,355799438336,2380602127360
2023-10-24 16:33:10,5,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522130243584,3.4,14638956544,82441220096,255897157632,187844018176,3328303104,440278929408,406392832,12270379008,89.0,3890913,16438098,355799438336,2380603048960
2023-10-24 16:33:20,5,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522113802240,3.4,14655397888,82424778752,255918907392,187844001792,3328303104,440278929408,406392832,12269600768,89.0,3890913,16438189,355799438336,2380603622400
2023-10-24 16:33:30,5,2,7929.0,7.0,85,0,0,7,0,548,0.6,540687409152,522133979136,3.4,14635208704,82444861440,255902146560,187843993600,3328303104,440279035904,406401024,12268630016,89.0,3890913,16438315,355799438336,2380604605440
2023-10-24 16:33:40,5,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522126716928,3.4,14642462720,82437537792,255902797824,187844026368,3328307200,440279101440,406417408,12269096960,89.0,3890913,16438430,355799438336,2380605293568
2023-10-24 16:33:50,5,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522126684160,3.4,14642446336,82437382144,255902191616,187844059136,3328307200,440279273472,406466560,12268658688,89.0,3890913,16438566,355799438336,2380606129152
2023-10-24 16:34:00,5,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522127360000,3.4,14641766400,82438033408,255901544448,187844030464,3328307200,440279302144,406474752,12269191168,89.0,3890913,16438732,355799438336,2380607202304
2023-10-24 16:34:10,5,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522129182720,3.4,14639939584,82439843840,255901356032,187844026368,3328307200,440279318528,406482944,12269617152,89.0,3890913,16438851,355799438336,2380607931392
2023-10-24 16:34:20,5,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522129510400,3.4,14639521792,82429829120,255902412800,187853455360,3328315392,440289742848,406548480,12270596096,89.0,3890913,16442144,355799438336,2380639540224
2023-10-24 16:34:30,5,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522135252992,3.4,14633791488,82435510272,255903539200,187853385728,3328315392,440289792000,406548480,12269494272,89.0,3890913,16442223,355799438336,2380640113664
2023-10-24 16:34:40,5,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522129801216,3.4,14639239168,82430038016,255903670272,187853410304,3328315392,440289816576,406556672,12270239744,89.0,3890913,16442306,355799438336,2380640629760
2023-10-24 16:34:50,5,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522128928768,3.4,14640099328,82429046784,255905603584,187853328384,3328315392,440289947648,406564864,12270686208,89.0,3890913,16442384,355799438336,2380641268736
2023-10-24 16:35:00,5,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522810703872,3.3,13958328320,83110801408,255231332352,187846873088,3328315392,440289964032,406556672,12270579712,89.0,3890913,16442616,355799438336,2380642677760
2023-10-24 16:35:10,5,2,7929.0,7.0,85,0,0,7,0,548,2.0,540687409152,522480431104,3.4,14288551936,82776838144,255557758976,187840282624,3328315392,440293703680,406609920,12289970176,89.0,3890915,16442751,355799593984,2380643644416
2023-10-24 16:35:20,5,2,7929.0,7.0,85,0,0,7,0,548,0.6,540687409152,522494140416,3.4,14274838528,82790486016,255531593728,187839918080,3328315392,440293769216,406614016,12290846720,89.0,3890915,16443217,355799593984,2380646142976
2023-10-24 16:35:30,5,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522551508992,3.4,14217424896,82848083968,255481032704,187840053248,3328315392,440293584896,406663168,12290494464,89.0,3890915,16443333,355799593984,2380646872064
